,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month,day,hour_UTC,minute_UTC
2314,Tenor Banjo,True,40,70,6,18,Intermediate Level,1.0,Musical Instruments,2015,6,17,21,41
2315,Introduction to Lead Guitar,True,20,245,8,34,Intermediate Level,1.5,Musical Instruments,2013,11,26,23,41
2316,Piano With Willie: Basics of Improvisation,True,40,76,4,23,Beginner Level,3.5,Musical Instruments,2016,4,13,6,49
2317,Euphonium Pro Series - Fall in love with the Euphonium,True,50,44,2,40,All Levels,7.5,Musical Instruments,2016,5,24,16,46
2318,Pure Rock Guitar : Play Like the Gods of Rock!,True,45,80,5,24,All Levels,4.5,Musical Instruments,2016,7,29,21,24
2319,Master the French Horn: Intermediate Instruction Made Simple,True,50,68,8,126,Intermediate Level,7.5,Musical Instruments,2014,10,29,19,43
2320,Classical Guitar Technique: 80/20,True,175,54,0,18,All Levels,2.5,Musical Instruments,2017,3,30,3,30
2321,Total beginner to intermediate guitar - Learn to play by ear,True,45,80,4,112,Beginner Level,3.0,Musical Instruments,2015,10,16,17,11
2322,Aprende escalas y arpegios  Vol. I: Modo mayor,True,50,85,2,30,Beginner Level,1.5,Musical Instruments,2016,3,31,17,45
2323,Aprende a tocar Guitarra RAPIDO y FACIL con Guitarsimple,True,40,57,7,16,Beginner Level,4.0,Musical Instruments,2014,1,22,6,22
2324,Ukulele lernen für Papas mit Bruder Jakob,True,55,12,1,38,Beginner Level,1.0,Musical Instruments,2017,5,4,21,54
2325,Tin Whistle Básico,True,20,11,2,53,Beginner Level,1.5,Musical Instruments,2017,5,17,20,40
2326,Leve a sua técnica de pedal duplo para um novo patamar,True,40,42,4,196,Intermediate Level,5.5,Musical Instruments,2017,1,16,15,41
2327,Sevillanas con Castañuelas - Baile y toque al mismo tiempo,True,40,20,4,24,All Levels,1.5,Musical Instruments,2016,2,23,18,24
2328,見てわかる！やさしく独習アコギ（入門編）TAKA先生のアコースティックギターレッスンⅠ,True,20,41,3,48,Beginner Level,2.0,Musical Instruments,2015,7,6,18,23
2329,【すぐに覚える！】ASALATO-アサラト(打楽器)初心者向け入門講座,True,20,5,1,7,Beginner Level,0.5833333333333334,Musical Instruments,2017,4,19,20,52
